N;FFT
0;1
1;0.980103
2;0.577773
3;0.089719
4;0.216828
5;0.110083
6;0.368367
7;1.09622
8;1.70708
9;1.97282
10;1.7553
11;1.09676
12;0.32456
13;0.350644
14;0.598242
15;0.449579
16;3.39376e-07
17;0.429166
18;0.598334
19;0.303086
20;0.324807
21;1.14619
22;1.75511
23;1.97815
24;1.70683
25;1.06086
26;0.369378
27;0.145823
28;0.21945
29;0.0814748
30;0.577645
31;0.955715
32;0.999998
33;0.54853
34;0.187602
35;1.05637
36;1.63098
37;1.79592
38;1.47943
39;0.873155
40;0.293064
41;0.0240502
42;0.0933558
43;0.542347
44;1.08975
45;1.42605
46;1.36341
47;0.798102
48;2.7535e-06
49;0.860569
50;1.36336
51;1.44832
52;1.08968
53;0.540012
54;0.0968957
55;0.0355114
56;0.294466
57;0.892012
58;1.47917
59;1.77997
60;1.63064
61;0.997018
62;0.188031
63;0.607473
64;0.999993
