fromX;fromIFFT
0.000000;1.000000
0.098175;0.979841
0.196350;0.577773
0.294524;0.089612
0.392699;-0.216756
0.490874;-0.109989
0.589049;0.368332
0.687223;1.095929
0.785398;1.707055
0.883573;1.972525
0.981748;1.755255
1.079922;1.096540
1.178097;0.324486
1.276272;-0.350530
1.374447;-0.597883
1.472622;-0.449568
1.570796;0.000000
1.668971;0.429121
1.767146;0.597739
1.865321;0.302563
1.963496;-0.324601
2.061671;-1.146044
2.159845;-1.754892
2.258020;-1.978108
2.356195;-1.706640
2.454370;-1.060625
2.552545;-0.368733
2.650719;0.141370
2.748894;0.215946
2.847069;-0.078435
2.945244;-0.577577
3.043419;-0.955622
3.141593;-0.999998
3.239768;-0.548393
3.337943;0.187601
3.436118;1.056115
3.534293;1.630974
3.632468;1.795557
3.730642;1.479422
3.828817;0.872871
3.926992;0.292940
4.025167;-0.020214
4.123341;0.092507
4.221516;0.542058
4.319690;1.089729
4.417865;1.425946
4.516039;1.363250
4.614214;0.798085
4.712389;0.000003
4.810563;-0.860559
4.908738;-1.363104
5.006912;-1.448284
5.105087;-1.089622
5.203261;-0.539537
5.301436;-0.092875
5.399611;0.009304
5.497785;-0.293349
5.595960;-0.891670
5.694134;-1.479010
5.792309;-1.779961
5.890483;-1.630172
5.988658;-0.997011
6.086833;-0.187823
6.185007;0.607083
6.283182;0.999993
