fromX;fromY
0.000000;1.000000
0.098175;0.968101
0.196350;0.577774
0.294524;0.084173
0.392699;-0.216773
0.490874;-0.125471
0.589049;0.368309
0.687223;1.078802
0.785398;1.707107
0.883573;1.975970
0.981748;1.755349
1.079922;1.121755
1.178097;0.324423
1.276272;-0.326351
1.374447;-0.598102
1.472622;-0.439303
1.570796;0.000000
1.668971;0.439304
1.767146;0.598102
1.865321;0.326350
1.963496;-0.324426
2.061671;-1.121757
2.159845;-1.755351
2.258020;-1.975970
2.356195;-1.707105
2.454370;-1.078799
2.552545;-0.368305
2.650719;0.125473
2.748894;0.216772
2.847069;-0.084177
2.945244;-0.577777
3.043419;-0.968103
3.141593;-0.999998
3.239768;-0.577915
3.337943;0.187600
3.436118;1.026975
3.534293;1.630991
3.632468;1.788409
3.730642;1.479445
3.828817;0.882761
3.926992;0.292888
4.025167;-0.014401
4.123341;0.092412
4.221516;0.541188
4.319690;1.089791
4.417865;1.437491
4.516039;1.363469
4.614214;0.829484
4.712389;0.000003
4.810563;-0.829479
4.908738;-1.363466
5.006912;-1.437493
5.105087;-1.089797
5.203261;-0.541194
5.301436;-0.092416
5.399611;0.014402
5.497785;-0.292884
5.595960;-0.882754
5.694134;-1.479438
5.792309;-1.788408
5.890483;-1.630998
5.988658;-1.026992
6.086833;-0.187623
6.185007;0.577899
6.283182;0.999993
