N;DFT
0;0
1;-0.517735
2;-1.44047
3;0.945869
4;0.634248
5;0.486507
6;0.402251
7;0.348344
8;-2.83051
9;-2.85782
10;-2.87865
11;-2.89518
12;-2.90883
13;-2.92048
14;-2.93086
15;-2.94036
16;-2.9494
17;-2.95822
18;-2.96708
19;-2.97609
20;-2.98542
21;-2.99517
22;-3.00539
23;-3.01609
24;-3.02738
25;-3.03921
26;-3.05159
27;-3.06449
28;-3.07781
29;-3.09158
30;-3.1056
31;-3.1199
32;-3.13434
33;3.13434
34;3.1199
35;3.1056
36;3.09158
37;3.07781
38;3.06449
39;3.05159
40;3.03921
41;3.02738
42;3.01609
43;3.00539
44;2.99517
45;2.98542
46;2.97609
47;2.96708
48;2.95822
49;2.9494
50;2.94036
51;2.93086
52;2.92048
53;2.90883
54;2.89518
55;2.87865
56;2.85782
57;2.83051
58;-0.348344
59;-0.402251
60;-0.486507
61;-0.634248
62;-0.945869
63;1.44047
64;0.517735
