N;FFT
0;0
1;-0.0231497
2;0.00101997
3;-0.0489353
4;-3.11585
5;-3.10036
6;-0.0136679
7;-0.0231025
8;0.00500497
9;-0.0173155
10;0.00715432
11;-0.0199757
12;-0.0213709
13;-3.11606
14;-3.10692
15;-3.13435
16;-0.0861141
17;0.0143857
18;0.0445738
19;0.0587458
20;3.106
21;3.12581
22;-3.12585
23;3.13486
24;-3.12658
25;3.12042
26;3.08251
27;0.247772
28;0.178944
29;2.86756
30;-3.1263
31;-3.12764
32;3.14159
33;3.11924
34;-0.00314129
35;-0.0220627
36;0.00342225
37;-0.0201605
38;0.0034031
39;-0.0255014
40;-0.0291576
41;-2.56902
42;-0.134925
43;-0.0326404
44;0.00636444
45;-0.0119496
46;0.0152106
47;-0.00647551
48;0.0106009
49;3.13665
50;-3.12204
51;3.13476
52;-3.13099
53;3.09964
54;2.8525
55;1.30571
56;3.05446
57;3.11387
58;-3.12685
59;3.13943
60;-3.11764
61;3.13763
62;3.09458
63;0.0358315
64;0
