N;FWHT
0;0.000000
1;3.141590
2;3.141590
3;3.141590
4;3.141590
5;3.141590
6;3.141590
7;0.000000
8;3.141590
9;0.000000
10;0.000000
11;0.000000
12;0.000000
13;0.000000
14;0.000000
15;3.141590
16;0.000000
17;0.000000
18;0.000000
19;3.141590
20;0.000000
21;3.141590
22;3.141590
23;3.141590
24;3.141590
25;3.141590
26;3.141590
27;0.000000
28;3.141590
29;0.000000
30;0.000000
31;0.000000
32;3.141590
33;0.000000
34;0.000000
35;0.000000
36;0.000000
37;0.000000
38;0.000000
39;3.141590
40;3.141590
41;0.000000
42;0.000000
43;0.000000
44;0.000000
45;0.000000
46;0.000000
47;3.141590
48;3.141590
49;3.141590
50;3.141590
51;0.000000
52;3.141590
53;0.000000
54;0.000000
55;0.000000
56;3.141590
57;3.141590
58;3.141590
59;0.000000
60;3.141590
61;0.000000
62;0.000000
63;0.000000
